Case numbers and rates for previous two weeks by local authority,,,,,,,,,
England,,,,,,,,,
,,,,,,,,,
Local Authority,Total population,Case number - recent week: 08 Oct to 14 Oct 2020,Case number - previous week: 01 Oct to 07 Oct 2020,"Case rate per 100,000 - recent week: 08 Oct to 14 Oct 2020","Case rate per 100,000 - previous week: 01 Oct to 07 Oct 2020",Rank,Rate change between previous and recent week,Rate category [for map],
Barking and Dagenham,212906,236,160,110.8,75.2,14,35.6,100-199.9/100k,
Barnet,395869,435,424,109.9,107.1,15,2.8,100-199.9/100k,
Bexley,248287,183,165,73.7,66.5,31,7.2,50-99.9/100k,
Brent,329771,319,299,96.7,90.7,23,6,50-99.9/100k,
Bromley,332336,268,222,80.6,66.8,29,13.8,50-99.9/100k,
Camden,270029,310,242,114.8,89.6,11,25.2,100-199.9/100k,
City of London,9721,3,5,30.9,51.4,33,-20.5,25-49.9/100k,
Croydon,386710,295,270,76.3,69.8,30,6.5,50-99.9/100k,
Ealing,341806,491,449,143.6,131.4,1,12.2,100-199.9/100k,
Enfield,333794,334,269,100.1,80.6,21,19.5,100-199.9/100k,
Greenwich,287942,212,206,73.6,71.5,32,2.1,50-99.9/100k,
Hackney,281120,357,396,127,140.9,5,-13.9,100-199.9/100k,
Hammersmith and Fulham,185143,242,178,130.7,96.1,3,34.6,100-199.9/100k,
Haringey,268647,330,271,122.8,100.9,6,21.9,100-199.9/100k,
Harrow,251160,294,304,117.1,121,9,-3.9,100-199.9/100k,
Havering,259552,298,206,114.8,79.4,12,35.4,100-199.9/100k,
Hillingdon,306870,353,303,115,98.7,10,16.3,100-199.9/100k,
Hounslow,271523,319,276,117.5,101.6,8,15.9,100-199.9/100k,
Islington,242467,261,190,107.6,78.4,16,29.2,100-199.9/100k,
Kensington and Chelsea,156129,163,152,104.4,97.4,19,7,100-199.9/100k,
Kingston upon Thames,177507,209,178,117.7,100.3,7,17.4,100-199.9/100k,
Lambeth,326034,329,299,100.9,91.7,20,9.2,100-199.9/100k,
Lewisham,305842,247,228,80.8,74.5,28,6.3,50-99.9/100k,
Merton,206548,172,139,83.3,67.3,26,16,50-99.9/100k,
Newham,353134,404,329,114.4,93.2,13,21.2,100-199.9/100k,
Redbridge,305222,388,377,127.1,123.5,4,3.6,100-199.9/100k,
Richmond upon Thames,198019,282,286,142.4,144.4,2,-2,100-199.9/100k,
Southwark,318830,261,226,81.9,70.9,27,11,50-99.9/100k,
Sutton,206349,177,120,85.8,58.2,25,27.6,50-99.9/100k,
Tower Hamlets,324745,348,323,107.2,99.5,17,7.7,100-199.9/100k,
Waltham Forest,276983,277,247,100,89.2,22,10.8,100-199.9/100k,
Wandsworth,329677,348,297,105.6,90.1,18,15.5,100-199.9/100k,
Westminster,261317,235,225,89.9,86.1,24,3.8,50-99.9/100k,
